"...1","wavenumber","absorbance"
324,3371.40897,0.25421
325,3369.48024,0.25347
326,3367.55152,0.2528
327,3365.6228,0.25297
328,3363.69407,0.25356
329,3361.76535,0.25259
330,3359.83662,0.25283
331,3357.9079,0.25187
332,3355.97918,0.25248
333,3354.05045,0.25147
334,3352.12173,0.25068
335,3350.19301,0.25071
336,3348.26428,0.25018
337,3346.33556,0.24974
338,3344.40684,0.24839
339,3342.47811,0.24802
340,3340.54939,0.24793
341,3338.62066,0.24779
342,3336.69194,0.24748
343,3334.76322,0.24669
344,3332.83449,0.24677
345,3330.90577,0.24578
346,3328.97705,0.24532
347,3327.04832,0.24441
348,3325.1196,0.24376
349,3323.19088,0.24414
350,3321.26215,0.24333
351,3319.33343,0.24234
352,3317.4047,0.24229
353,3315.47598,0.24226
354,3313.54726,0.2411
355,3311.61853,0.24089
356,3309.68981,0.24121
357,3307.76109,0.24023
358,3305.83236,0.24041
359,3303.90364,0.23866
360,3301.97491,0.23818
361,3300.04619,0.23781
362,3298.11747,0.23803
363,3296.18874,0.23749
364,3294.26002,0.23733
365,3292.3313,0.2369
366,3290.40257,0.23564
367,3288.47385,0.23609
368,3286.54513,0.23573
369,3284.6164,0.23471
370,3282.68768,0.2344
371,3280.75895,0.23391
372,3278.83023,0.23267
373,3276.90151,0.23297
374,3274.97278,0.23274
375,3273.04406,0.23156
376,3271.11534,0.23157
377,3269.18661,0.23077
378,3267.25789,0.23125
379,3265.32917,0.23059
380,3263.40044,0.23024
381,3261.47172,0.22877
382,3259.54299,0.22891
383,3257.61427,0.2284
384,3255.68555,0.2276
385,3253.75682,0.22724
386,3251.8281,0.22656
387,3249.89938,0.22662
388,3247.97065,0.22657
389,3246.04193,0.22593
390,3244.1132,0.22501
391,3242.18448,0.22372
392,3240.25576,0.22382
393,3238.32703,0.22371
394,3236.39831,0.223
395,3234.46959,0.22209
396,3232.54086,0.22199
397,3230.61214,0.22059
398,3228.68342,0.2199
399,3226.75469,0.22011
400,3224.82597,0.21958
401,3222.89724,0.21888
402,3220.96852,0.21728
403,3219.0398,0.21729
404,3217.11107,0.21673
405,3215.18235,0.2159
406,3213.25363,0.21487
407,3211.3249,0.21432
408,3209.39618,0.21424
409,3207.46746,0.21311
410,3205.53873,0.21229
411,3203.61001,0.21142
412,3201.68128,0.21025
413,3199.75256,0.20945
414,3197.82384,0.20913
415,3195.89511,0.20848
416,3193.96639,0.20734
417,3192.03767,0.20649
418,3190.10894,0.20543
419,3188.18022,0.2053
420,3186.25149,0.20384
421,3184.32277,0.2035
422,3182.39405,0.20218
423,3180.46532,0.20135
424,3178.5366,0.20067
425,3176.60788,0.19983
426,3174.67915,0.19854
427,3172.75043,0.1976
428,3170.82171,0.19659
429,3168.89298,0.19606
430,3166.96426,0.19502
431,3165.03553,0.19434
432,3163.10681,0.19377
433,3161.17809,0.19269
434,3159.24936,0.19167
435,3157.32064,0.19011
436,3155.39192,0.18929
437,3153.46319,0.18851
438,3151.53447,0.18804
439,3149.60575,0.18666
440,3147.67702,0.18629
441,3145.7483,0.18524
442,3143.81957,0.18465
443,3141.89085,0.18369
444,3139.96213,0.18241
445,3138.0334,0.18188
446,3136.10468,0.181
447,3134.17596,0.18017
448,3132.24723,0.17923
449,3130.31851,0.17806
450,3128.38978,0.17719
451,3126.46106,0.17611
452,3124.53234,0.17584
453,3122.60361,0.17467
454,3120.67489,0.17354
455,3118.74617,0.17256
456,3116.81744,0.17215
457,3114.88872,0.17127
458,3112.96,0.16966
459,3111.03127,0.16849
460,3109.10255,0.16816
461,3107.17382,0.16731
462,3105.2451,0.16668
463,3103.31638,0.16553
464,3101.38765,0.16418
465,3099.45893,0.16344
466,3097.53021,0.16219
467,3095.60148,0.16134
468,3093.67276,0.16003
469,3091.74404,0.1594
470,3089.81531,0.15821
471,3087.88659,0.15683
472,3085.95786,0.15627
473,3084.02914,0.15517
474,3082.10042,0.15414
475,3080.17169,0.15317
476,3078.24297,0.15284
477,3076.31425,0.15163
478,3074.38552,0.15048
479,3072.4568,0.14918
480,3070.52807,0.14853
481,3068.59935,0.14732
482,3066.67063,0.14673
483,3064.7419,0.14548
484,3062.81318,0.14415
485,3060.88446,0.14328
486,3058.95573,0.1425
487,3057.02701,0.14189
488,3055.09829,0.1403
489,3053.16956,0.14018
490,3051.24084,0.13909
491,3049.31211,0.13798
492,3047.38339,0.13747
493,3045.45467,0.13582
494,3043.52594,0.13532
495,3041.59722,0.13451
496,3039.6685,0.13382
497,3037.73977,0.13239
498,3035.81105,0.13129
499,3033.88233,0.13032
500,3031.9536,0.12997
501,3030.02488,0.12904
502,3028.09615,0.12844
503,3026.16743,0.12734
504,3024.23871,0.1269
505,3022.30998,0.1265
506,3020.38126,0.12498
507,3018.45254,0.12488
508,3016.52381,0.12384
509,3014.59509,0.1233
510,3012.66636,0.1223
511,3010.73764,0.12145
512,3008.80892,0.12049
513,3006.88019,0.12
514,3004.95147,0.1194
515,3003.02275,0.11902
516,3001.09402,0.11843
517,2999.1653,0.11747
518,2997.23658,0.11712
519,2995.30785,0.1166
520,2993.37913,0.11534
521,2991.4504,0.11524
522,2989.52168,0.11497
523,2987.59296,0.11518
524,2985.66423,0.11441
525,2983.73551,0.11446
526,2981.80679,0.11372
527,2979.87806,0.1138
528,2977.94934,0.11404
529,2976.02062,0.11414
530,2974.09189,0.11461
531,2972.16317,0.11433
532,2970.23444,0.11477
533,2968.30572,0.1154
534,2966.377,0.11604
535,2964.44827,0.11616
536,2962.51955,0.11621
537,2960.59083,0.11588
538,2958.6621,0.1158
539,2956.73338,0.11504
540,2954.80466,0.11446
541,2952.87593,0.11304
542,2950.94721,0.11172
543,2949.01848,0.11086
544,2947.08976,0.11145
545,2945.16104,0.11122
546,2943.23231,0.11147
547,2941.30359,0.11278
548,2939.37487,0.11353
549,2937.44614,0.11414
550,2935.51742,0.11578
551,2933.58869,0.11697
552,2931.65997,0.11836
553,2929.73125,0.11923
554,2927.80252,0.11921
555,2925.8738,0.11844
556,2923.94508,0.11789
557,2922.01635,0.11563
558,2920.08763,0.11263
559,2918.15891,0.1102
560,2916.23018,0.1071
561,2914.30146,0.10478
562,2912.37273,0.10228
563,2910.44401,0.1002
564,2908.51529,0.09788
565,2906.58656,0.09623
566,2904.65784,0.09482
567,2902.72912,0.0937
568,2900.80039,0.09166
569,2898.87167,0.09047
570,2896.94295,0.08931
571,2895.01422,0.08736
572,2893.0855,0.08668
573,2891.15677,0.08541
574,2889.22805,0.08433
575,2887.29933,0.08287
576,2885.3706,0.08231
577,2883.44188,0.08173
578,2881.51316,0.08073
579,2879.58443,0.08076
580,2877.65571,0.08054
581,2875.72698,0.08019
582,2873.79826,0.07975
583,2871.86954,0.07945
584,2869.94081,0.07864
585,2868.01209,0.07802
586,2866.08337,0.07784
587,2864.15464,0.07818
588,2862.22592,0.07832
589,2860.2972,0.07966
590,2858.36847,0.08004
591,2856.43975,0.08111
592,2854.51102,0.08103
593,2852.5823,0.0796
594,2850.65358,0.0767
595,2848.72485,0.07381
596,2846.79613,0.07083
597,2844.86741,0.06867
598,2842.93868,0.06642
599,2841.00996,0.06421
600,2839.08124,0.06222
601,2837.15251,0.06077
602,2835.22379,0.05966
603,2833.29506,0.05832
604,2831.36634,0.05706
605,2829.43762,0.05627
606,2827.50889,0.05546
607,2825.58017,0.05423
608,2823.65145,0.05352
609,2821.72272,0.05306
610,2819.794,0.0524
611,2817.86527,0.05187
612,2815.93655,0.05076
613,2814.00783,0.05011
614,2812.0791,0.04953
615,2810.15038,0.04904
616,2808.22166,0.04799
617,2806.29293,0.04775
618,2804.36421,0.04728
619,2802.43549,0.04661
620,2800.50676,0.04552
621,2798.57804,0.04539
622,2796.64931,0.045
623,2794.72059,0.04405
624,2792.79187,0.0439
625,2790.86314,0.04347
626,2788.93442,0.04294
627,2787.0057,0.04241
628,2785.07697,0.0417
629,2783.14825,0.0414
630,2781.21953,0.0409
631,2779.2908,0.04033
632,2777.36208,0.03967
633,2775.43335,0.03928
634,2773.50463,0.03861
635,2771.57591,0.03802
636,2769.64718,0.03804
637,2767.71846,0.03731
638,2765.78974,0.03679
639,2763.86101,0.03587
640,2761.93229,0.03624
641,2760.00356,0.03531
642,2758.07484,0.03477
643,2756.14612,0.03441
644,2754.21739,0.03388
645,2752.28867,0.03371
646,2750.35995,0.03301
647,2748.43122,0.03274
648,2746.5025,0.03222
649,2744.57378,0.03185
650,2742.64505,0.03135
651,2740.71633,0.03075
652,2738.7876,0.0308
653,2736.85888,0.03015
654,2734.93016,0.02961
655,2733.00143,0.0296
656,2731.07271,0.02908
657,2729.14399,0.02841
658,2727.21526,0.02836
659,2725.28654,0.02779
660,2723.35782,0.02733
661,2721.42909,0.02702
662,2719.50037,0.02666
663,2717.57164,0.02623
664,2715.64292,0.02587
665,2713.7142,0.02517
666,2711.78547,0.02469
667,2709.85675,0.02458
668,2707.92803,0.02397
669,2705.9993,0.02411
670,2704.07058,0.02348
671,2702.14185,0.02334
672,2700.21313,0.02286
673,2698.28441,0.02253
674,2696.35568,0.02205
675,2694.42696,0.02165
676,2692.49824,0.02155
677,2690.56951,0.02124
678,2688.64079,0.02054
679,2686.71207,0.02036
680,2684.78334,0.02012
681,2682.85462,0.01942
682,2680.92589,0.01931
683,2678.99717,0.01903
684,2677.06845,0.0185
685,2675.13972,0.01842
686,2673.211,0.01789
687,2671.28228,0.01811
688,2669.35355,0.01763
689,2667.42483,0.01729
690,2665.49611,0.01728
691,2663.56738,0.01672
692,2661.63866,0.01622
693,2659.70993,0.01603
694,2657.78121,0.01556
695,2655.85249,0.0155
696,2653.92376,0.01469
697,2651.99504,0.01452
698,2650.06632,0.01447
699,2648.13759,0.01432
700,2646.20887,0.01373
701,2644.28014,0.01358
702,2642.35142,0.01339
703,2640.4227,0.0131
704,2638.49397,0.01296
705,2636.56525,0.01273
706,2634.63653,0.01226
707,2632.7078,0.01217
708,2630.77908,0.01194
709,2628.85036,0.01196
710,2626.92163,0.01147
711,2624.99291,0.01107
712,2623.06418,0.01078
713,2621.13546,0.01073
714,2619.20674,0.01045
715,2617.27801,0.01023
716,2615.34929,0.00993
717,2613.42057,0.00989
718,2611.49184,0.00973
719,2609.56312,0.00946
720,2607.6344,0.00953
721,2605.70567,0.00884
722,2603.77695,0.00904
723,2601.84822,0.00845
724,2599.9195,0.00819
725,2597.99078,0.00831
726,2596.06205,0.00808
727,2594.13333,0.00781
728,2592.20461,0.00744
729,2590.27588,0.0074
730,2588.34716,0.00689
731,2586.41843,0.00703
732,2584.48971,0.00687
733,2582.56099,0.00649
734,2580.63226,0.00678
735,2578.70354,0.00622
736,2576.77482,0.00628
737,2574.84609,0.00576
738,2572.91737,0.00584
739,2570.98865,0.00595
740,2569.05992,0.00548
741,2567.1312,0.00542
742,2565.20247,0.00503
743,2563.27375,0.00543
744,2561.34503,0.00492
745,2559.4163,0.00477
746,2557.48758,0.00473
747,2555.55886,0.00436
748,2553.63013,0.00436
749,2551.70141,0.00433
750,2549.77269,0.00417
751,2547.84396,0.00403
752,2545.91524,0.00396
753,2543.98651,0.00394
754,2542.05779,0.00363
755,2540.12907,0.00344
756,2538.20034,0.00324
757,2536.27162,0.00341
758,2534.3429,0.00333
759,2532.41417,0.00339
760,2530.48545,0.00338
761,2528.55673,0.00323
762,2526.628,0.00268
763,2524.69928,0.00264
764,2522.77055,0.00297
765,2520.84183,0.00283
766,2518.91311,0.00256
767,2516.98438,0.00217
768,2515.05566,0.00239
769,2513.12694,0.00208
770,2511.19821,0.00202
771,2509.26949,0.00205
772,2507.34076,0.00176
773,2505.41204,0.00172
774,2503.48332,0.00206
775,2501.55459,0.0014
776,2499.62587,0.00162
777,2497.69715,0.00172
778,2495.76842,0.00137
779,2493.8397,0.00166
780,2491.91098,0.00171
781,2489.98225,0.00131
782,2488.05353,0.00119
783,2486.1248,0.00123
784,2484.19608,0.00127
785,2482.26736,0.00133
786,2480.33863,0.00114
787,2478.40991,0.00122
788,2476.48119,0.00081
789,2474.55246,0.00101
790,2472.62374,0.00079
791,2470.69502,0.00105
792,2468.76629,0.00073
793,2466.83757,0.00075
794,2464.90884,0.00077
795,2462.98012,0.00061
796,2461.0514,8e-04
797,2459.12267,0.00066
798,2457.19395,0.00046
799,2455.26523,0.00071
800,2453.3365,0.00041
801,2451.40778,0.00033
802,2449.47905,7e-04
803,2447.55033,0.00066
804,2445.62161,0.00039
805,2443.69288,0.00057
806,2441.76416,0.00055
807,2439.83544,0.00064
808,2437.90671,0.00063
809,2435.97799,0.00077
810,2434.04927,0.00029
811,2432.12054,0.00045
812,2430.19182,0.00054
813,2428.26309,0.00048
814,2426.33437,0.00032
815,2424.40565,4e-04
816,2422.47692,0.00016
817,2420.5482,1e-04
818,2418.61948,0.00018
819,2416.69075,0.00034
820,2414.76203,0
821,2412.83331,3e-04
822,2410.90458,0.00039
823,2408.97586,3e-05
824,2407.04713,8e-05
825,2405.11841,0.00032
826,2403.18969,-0.00016
827,2401.26096,0.00025
828,2399.33224,0.00028
829,2397.40352,-0.00032
830,2395.47479,-6e-05
831,2393.54607,3e-05
832,2391.61734,-0.00017
833,2389.68862,-7e-05
834,2387.7599,-0.00023
835,2385.83117,-0.00016
836,2383.90245,-0.00017
837,2381.97373,6e-05
838,2380.045,-9e-05
839,2378.11628,0.00028
840,2376.18756,0.00033
841,2374.25883,0.00039
842,2372.33011,2e-04
843,2370.40138,-4e-05
844,2368.47266,-4e-05
845,2366.54394,0.00046
